	Token Name: FLOAT 	Lexeme: float 	 Lineno: 1
	Token Name: NAME 	Lexeme: a 	 Lineno: 1
	Token Name: COMMA 	Lexeme: , 	 Lineno: 1
	Token Name: NAME 	Lexeme: b 	 Lineno: 1
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 1
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 3
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 3
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 4
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 5
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: READ 	Lexeme: read 	 Lineno: 6
	Token Name: NAME 	Lexeme: a 	 Lineno: 6
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 6
	Token Name: READ 	Lexeme: read 	 Lineno: 7
	Token Name: NAME 	Lexeme: b 	 Lineno: 7
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: c 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 8
	Token Name: NAME 	Lexeme: a 	 Lineno: 8
	Token Name: PLUS 	Lexeme: + 	 Lineno: 8
	Token Name: NAME 	Lexeme: b 	 Lineno: 8
	Token Name: PLUS 	Lexeme: + 	 Lineno: 8
	Token Name: FLOAT_NUM 	Lexeme: 25.0 	 Lineno: 8
	Token Name: PLUS 	Lexeme: + 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 8
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 8
	Token Name: DIV 	Lexeme: / 	 Lineno: 8
	Token Name: FLOAT_NUM 	Lexeme: 23.0 	 Lineno: 8
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 9
	Token Name: NAME 	Lexeme: a 	 Lineno: 9
	Token Name: MULT 	Lexeme: * 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: LESS_THAN 	Lexeme: < 	 Lineno: 9
	Token Name: FLOAT_NUM 	Lexeme: 25.0 	 Lineno: 9
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 9
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 9
	Token Name: FLOAT_NUM 	Lexeme: 25.0 	 Lineno: 9
	Token Name: MULT 	Lexeme: * 	 Lineno: 9
	Token Name: FLOAT_NUM 	Lexeme: 1100.0 	 Lineno: 9
	Token Name: COLON 	Lexeme: : 	 Lineno: 9
	Token Name: NAME 	Lexeme: a 	 Lineno: 9
	Token Name: MULT 	Lexeme: * 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: PLUS 	Lexeme: + 	 Lineno: 9
	Token Name: FLOAT_NUM 	Lexeme: 10.0 	 Lineno: 9
	Token Name: MULT 	Lexeme: * 	 Lineno: 9
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 9
	Token Name: WRITE 	Lexeme: print 	 Lineno: 10
	Token Name: NAME 	Lexeme: c 	 Lineno: 10
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 10
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 11
