	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: date 	 Lineno: 1
	Token Name: COMMA 	Lexeme: , 	 Lineno: 1
	Token Name: NAME 	Lexeme: time 	 Lineno: 1
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 1
	Token Name: STRING 	Lexeme: string 	 Lineno: 2
	Token Name: NAME 	Lexeme: a 	 Lineno: 2
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 2
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 3
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 3
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 4
	Token Name: STRING 	Lexeme: string 	 Lineno: 5
	Token Name: NAME 	Lexeme: b 	 Lineno: 5
	Token Name: COMMA 	Lexeme: , 	 Lineno: 5
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: READ 	Lexeme: read 	 Lineno: 6
	Token Name: NAME 	Lexeme: date 	 Lineno: 6
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: PLUS 	Lexeme: + 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: GREATER_THAN 	Lexeme: > 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 2 	 Lineno: 7
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: PLUS 	Lexeme: + 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 1 	 Lineno: 7
	Token Name: COLON 	Lexeme: : 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: PLUS 	Lexeme: + 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 2 	 Lineno: 7
	Token Name: LESS_THAN 	Lexeme: < 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 3 	 Lineno: 7
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: PLUS 	Lexeme: + 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 4 	 Lineno: 7
	Token Name: COLON 	Lexeme: : 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 7
	Token Name: PLUS 	Lexeme: + 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 3 	 Lineno: 7
	Token Name: EQUAL 	Lexeme: == 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 3 	 Lineno: 7
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 1 	 Lineno: 7
	Token Name: COLON 	Lexeme: : 	 Lineno: 7
	Token Name: INT_NUM 	Lexeme: 2 	 Lineno: 7
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: date 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: NAME 	Lexeme: date 	 Lineno: 8
	Token Name: MULT 	Lexeme: * 	 Lineno: 8
	Token Name: NAME 	Lexeme: time 	 Lineno: 8
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 9
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 11
